"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhv","TimeFrame","GeoVintage","Source","Location"
"City","Aguila","AZ","0400730","=""0400730""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Anthem","AZ","0402430","=""0402430""","516200","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Arlington","AZ","0404020","=""0404020""","223400","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Avondale","AZ","0404720","=""0404720""","348700","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Buckeye","AZ","0407940","=""0407940""","384100","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Carefree","AZ","0410180","=""0410180""","1066600","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Cave Creek","AZ","0411300","=""0411300""","791900","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Chandler","AZ","0412000","=""0412000""","469800","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Circle City","AZ","0413610","=""0413610""","164600","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Citrus Park","AZ","0413820","=""0413820""","659700","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","El Mirage","AZ","0422220","=""0422220""","282000","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Fountain Hills","AZ","0425300","=""0425300""","575200","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Gila Bend","AZ","0427050","=""0427050""","120400","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Gila Crossing","AZ","0427260","=""0427260""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Gilbert","AZ","0427400","=""0427400""","518600","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Glendale","AZ","0427820","=""0427820""","347000","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Goodyear","AZ","0428380","=""0428380""","441900","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Guadalupe","AZ","0430270","=""0430270""","233500","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Kaka","AZ","0436780","=""0436780""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Komatke","AZ","0438655","=""0438655""","123000","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Litchfield Park","AZ","0441330","=""0441330""","547700","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Maricopa Colony","AZ","0444450","=""0444450""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Mesa","AZ","0446000","=""0446000""","364300","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Morristown","AZ","0447750","=""0447750""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","New River","AZ","0449360","=""0449360""","603700","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Paradise Valley","AZ","0452930","=""0452930""","2000001","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Peoria","AZ","0454050","=""0454050""","429400","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Phoenix","AZ","0455000","=""0455000""","381900","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Queen Creek","AZ","0458150","=""0458150""","576600","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Rio Verde","AZ","0460250","=""0460250""","728300","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","St. Johns","AZ","0462362","=""0462362""","323300","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Scottsdale","AZ","0465000","=""0465000""","709900","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Sun City","AZ","0470320","=""0470320""","259800","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Sun City West","AZ","0470355","=""0470355""","350500","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Sun Lakes","AZ","0470530","=""0470530""","425500","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Surprise","AZ","0471510","=""0471510""","396000","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Tempe","AZ","0473000","=""0473000""","421900","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Theba","AZ","0473490","=""0473490""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Tolleson","AZ","0474190","=""0474190""","287000","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Tonopah","AZ","0474540","=""0474540""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Wickenburg","AZ","0482740","=""0482740""","449400","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Wintersburg","AZ","0484000","=""0484000""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Wittmann","AZ","0484140","=""0484140""","228900","2019-2023","2020","Census","Maricopa (County, 2022)"
"City","Youngtown","AZ","0485400","=""0485400""","282900","2019-2023","2020","Census","Maricopa (County, 2022)"
